Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Real_Actor
Enter the Anime,Documentary,"August 5, 2019",58,2.5,English/Japanese,2019,"Kouzou Morishita, Kenji Kamiyama, Yoko Takahashi, Shinji Aramaki"
Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish,2020,"Tenoch Huerta Mejía, Eréndira Ibarra, Ariane Pellicer, Nick Zedd"
The App,Science fiction/Drama,"December 26, 2019",79,2.6,Italian,2019,"Vincenzo Crea, Jessica Cressy, Greta Scarano, Maya Sansa"
The Open House,Horror thriller,"January 19, 2018",94,3.2,English,2018,"Dylan Minnette, Piercey Dalton, Sharif Atkins, Patricia Bethune"
Kaali Khuhi,Mystery,"October 30, 2020",90,3.4,Hindi,2020,"Shabana Azmi, Riva Arora, Satyadeep Misra, Sanjeeda Sheikh"
Drive,Action,"November 1, 2019",147,3.5,Hindi,2019,"Sushant Singh Rajput, Jacqueline Fernandez, Vikramjeet Virk, Sapna Pabbi"
Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish,2020,"Demet Akbağ, Haluk Bilginer, Elçin Sangu, Alican Yücesoy"
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English,2020,"Edgar Ramírez, Michael Pitt, Anna Brewster, Sharlto Copley"
Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English,2018,"Gugu Mbatha-Raw, Daniel Brühl, Chris O'Dowd, David Oyelowo"
Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi,2021,"Arjun Kapoor, Neena Gupta, Rakul Preet Singh, Kumud Mishra"
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English,2021,"Ma Anand Sheela, Karan Johar, Raghu Rai"
The Call,Drama,"November 27, 2020",112,4.1,Korean,2020,"Harrison Ford, Dan Stevens, Colin Woodell, Karen Gillan"
Whipped,Romantic comedy,"September 18, 2020",97,4.1,Indonesian,2020,"Andovi da Lopez, Jovial Da Lopez, Tommy Limmm, Chandra Liow"
All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay,2020,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii"
Mercy,Thriller,"November 22, 2016",90,4.2,English,2016,"James Wolk, Caitlin FitzGerald, Tom Lipinski, Mike Donovan"
After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish,2019,Unknown
Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi,2020,"Janhvi Kapoor, Surekha Sikri, Vijay Varma, Sobhita Dhulipala"
The Last Thing He Wanted,Political thriller,"February 21, 2020",115,4.3,English,2020,"Anne Hathaway, Ben Affleck, Rosie Perez, Willem Dafoe"
What Happened to Mr. Cha?,Comedy,"January 1, 2021",102,4.3,Korean,2021,"Cha In-pyo, Jo Dal-hwan, Song Jae-ryong, Ji Seung-hyun"
Death Note,Horror thriller,"August 25, 2017",100,4.4,English,2017,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham"
"Hello Privilege. It's Me, Chelsea",Documentary,"September 13, 2019",64,4.4,English,2019,"Chelsea Handler, Tiffany Haddish, Kevin Hart"
Secret Obsession,Thriller,"July 18, 2019",97,4.4,English,2019,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott"
Sextuplets,Comedy,"August 16, 2019",99,4.4,English,2019,"Marlon Wayans, Bresha Webb, Michael Ian Black, Molly Shannon"
The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi,2021,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Tota Roy Chowdhury"
Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English,2021,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale"
Fatal Affair,Thriller,"July 16, 2020",89,4.5,English,2020,"Nia Long, Omar Epps, Stephen Bishop, Aubrey Cleland"
Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch,2021,"Yolanthe Cabau, Huub Smit, Jim Bakkum, Noortje Herlaar"
Seriously Single,Comedy,"July 31, 2020",107,4.5,English,2020,"Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas"
The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",99,4.5,French,2021,"Hedi Bouchenafa, Nassim Lyes, Fred Testot, Benjamin Tranié"
5 Star Christmas,Comedy,"December 7, 2018",95,4.6,Italian,2018,"Massimo Ghini, Ricky Memphis, Martina Stella, Paola Minaccioni"
After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish,2019,Glenda Martes
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English,2016,"Ruth Wilson, Paula Prentiss, Bob Balaban, Lucy Boynton"
Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French,2019,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel"
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese,2019,"Gregório Duvivier, Fábio Porchat, Antonio Tabet, Evelyn Castro"
Rattlesnake,Horror,"October 25, 2019",85,4.6,English,2019,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Debrianna Mansini"
The Players,Comedy,"July 15, 2020",88,4.6,Italian,2020,"Riccardo Scamarcio, Valerio Mastandrea, Laura Chiatti, Valentina Cervi"
We Are One,Documentary,"July 14, 2020",86,4.6,French,2020,"Matthieu Chedid, Fatoumata Diawara, Toumani Diabate, Sidiki Diabaté"
Finding Agnes,Drama,"November 30, 2020",105,4.7,Filipino,2020,"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo"
IO,Science fiction/Drama,"January 18, 2019",95,4.7,English,2019,"Margaret Qualley, Anthony Mackie, Danny Huston, Tom Payne"
Sentinelle,Action,"March 5, 2021",80,4.7,French,2021,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff, Martin Swabey"
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English,2020,Unknown
The Binding,Drama,"October 2, 2020",93,4.7,Italian,2020,"Mía Maestro, Riccardo Scamarcio, Giulia Patrignani, Mariella Lo Sardo"
We Can Be Heroes,Superhero,"December 25, 2020",100,4.7,English,2020,"YaYa Gosselin, Lyon Daniels, Andy Walken, Hala Finley"
Christmas Crossfire,Thriller,"December 4, 2020",106,4.8,German,2020,"Kostja Ullmann, Alli Neumann, Detlev Buck, Peter Kurth"
Coin Heist,Heist,"January 6, 2017",97,4.8,English,2017,"Alex Saxon, Alexis G. Zall, Sasha Pieterse, Jay Walker"
Mrs. Serial Killer,Thriller,"May 1, 2020",106,4.8,Hindi,2020,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Darshan Jariwala"
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish,2020,"Julia Wieniawa, Sebastian Dela, Michał Lupa, Wiktoria Gąsiewska"
Take the 10,Comedy,"January 20, 2017",80,4.8,English,2017,"Josh Peck, Tony Revolori, Stella Maeve, Andy Samberg"
The Main Event,Comedy,"April 10, 2020",101,4.8,English,2020,"Seth Carr, Tichina Arnold, Adam Pally, Ken Marino"
The Ridiculous 6,Western,"December 11, 2015",119,4.8,English,2015,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner"
Earth and Blood,Action,"April 17, 2020",80,4.9,French,2020,"Sami Bouajila, Ériq Ebouaney, Samy Seghir, Sofia Lesaffre"
Fearless,Animation/Superhero,"August 14, 2020",89,4.9,English,2020,"Yara Shahidi, Gabrielle Union, Dwyane Wade, Miles Robbins"
Holiday Rush,Family film,"November 28, 2019",94,4.9,English,2019,"Sonequa Martin-Green, La La Anthony, Deon Cole, Stormi Maya"
The Day of the Lord,Drama,"October 30, 2020",93,4.9,Spanish,2020,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia"
Airplane Mode,Comedy,"January 23, 2020",96,5.0,Portuguese,2020,"Larissa Manoela, Erasmo Carlos, André Luiz Frambach, Katiuscia Canoro"
How It Ends,Action-thriller,"July 13, 2018",113,5.0,English,2018,"Theo James, Forest Whitaker, Kat Graham, Kerry Bishé"
Love Like the Falling Rain,Drama,"October 15, 2020",86,5.0,Indonesian,2020,"Jefri Nichol, Aurora Ribero, Axel Matthew Thomas, Nadya Arina"
Rebirth,Thriller,"July 15, 2016",100,5.0,English,2016,"Fran Kranz, Adam Goldberg, Nicky Whelan, Harry Hamlin"
Squared Love,Romantic comedy,"February 11, 2021",102,5.0,Polish,2021,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Żulewska, Anna Smołowik"
Cadaver,Horror,"October 22, 2020",86,5.1,Norwegian,2020,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman"
Clinical,Thriller,"January 13, 2017",104,5.1,English,2017,"Vinessa Shaw, Kevin Rahm, Aaron Stanford, William Atherton"
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English,2020,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin"
Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English,2018,"Lucy Hale, Kathryn Prescott, Alexandra Shipp, Awkwafina"
Geez & Ann,Romantic drama,"February 25, 2021",105,5.1,Indonesian,2021,"Hanggini Purinda Retto, Junior Roberts, Roy Sungkono, Shenina Cinnamon"
The Larva Island Movie,Animation,"July 23, 2020",90,5.1,English,2020,"Hong Bum-ki, Kang Shin-hyung, Eddy Lee, Ahn Hyo-min"
#REALITYHIGH,Comedy,"September 8, 2017",99,5.2,English,2017,"Nesta Cooper, Keith Powers, Alicia Sanz, Jake Borelli"
